"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 21 03:47:49 UTC 2023","Thu Dec 21 03:48:30 UTC 2023","40501","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Thu Dec 21 03:47:37 UTC 2023","Thu Dec 21 03:47:40 UTC 2023","3517","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Thu Dec 21 02:49:01 UTC 2023","Thu Dec 21 02:49:21 UTC 2023","19994","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Thu Dec 21 02:52:05 UTC 2023","Thu Dec 21 02:52:06 UTC 2023","386","","6. Company Account","","","","9. Review Final Review",""
"passed","Thu Dec 21 03:02:44 UTC 2023","Thu Dec 21 03:02:44 UTC 2023","258","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Thu Dec 21 03:32:26 UTC 2023","Thu Dec 21 03:32:42 UTC 2023","16034","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Thu Dec 21 02:26:33 UTC 2023","Thu Dec 21 02:26:34 UTC 2023","21","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Thu Dec 21 02:45:10 UTC 2023","Thu Dec 21 02:45:13 UTC 2023","3843","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Thu Dec 21 03:19:49 UTC 2023","Thu Dec 21 03:19:51 UTC 2023","2595","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Thu Dec 21 04:07:03 UTC 2023","Thu Dec 21 04:07:05 UTC 2023","1793","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Thu Dec 21 02:30:20 UTC 2023","Thu Dec 21 02:31:30 UTC 2023","69975","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
